ccd,x0,x1,y1,y2,tape
53,1,150,1895,2038,s4
53,1903,2048,3965,4096,s5
53,1,152,3977,4096,s6
21,1,147,1,129,s1
21,1901,2048,1,122,s2
21,1897,2048,1855,2003,s3
21,1,126,2023,2168,s4
21,1917,2048,3946,4096,s5
21,1,126,3971,4096,s6
2,1,148,1,116,s1
2,1915,2048,1,133,s2
2,1918,2048,2020,2165,s3
2,1,149,2070,2205,s4
2,1,139,3983,4096,s5
2,1927,2048,3986,4096,s6
35,1,137,1,113,s1
35,1901,2048,1,107,s2
35,1886,2048,2121,2263,s3
35,1,136,2072,2219,s4
35,1,156,3938,4096,s5
35,1913,2048,3987,4096,s6
11,1,153,1,121,s1
11,1922,2048,1958,2098,s2
11,1,158,2034,2184,s3
11,1,153,3957,4096,s4
11,1918,2048,3972,4096,s5
11,1918,2048,1,117,s6
3,1,164,1,128,s1
3,1905,2048,1,89,s2
3,1,153,2019,2169,s3
3,1906,2048,2049,2188,s4
3,1,155,3977,4096,s5
3,1899,2048,3959,4096,s6
59,1,130,1,121,s1
59,1896,2048,1,115,s2
59,1894,2048,1966,2125,s3
59,1,139,2120,2278,s4
59,1899,2048,3968,4096,s5
59,1,145,3970,4096,s6
60,1,151,1,138,s1
60,1897,2048,1,138,s2
60,1893,2048,1910,2048,s3
60,1,146,1884,2036,s4
60,1882,2048,3963,4096,s5
60,1,153,3967,4096,s6
10,1,134,1,110,s1
10,1918,2048,1,117,s2
10,1888,2048,1937,2103,s3
10,1,158,2087,2251,s4
10,1,141,3977,4096,s5
10,1918,2048,3972,4096,s6
4,1,138,1,126,s1
4,1904,2048,1,120,s2
4,1907,2048,1941,2072,s3
4,1,159,2024,2174,s4
4,1,164,3981,4096,s5
4,1918,2048,3993,4096,s6
51,1,141,1,122,s1
51,1906,2048,1,113,s2
51,1,156,2010,2147,s3
51,1903,2048,2038,2178,s4
51,1,148,3964,4096,s5
51,1913,2048,3980,4096,s6
37,1,133,1,129,s1
37,1899,2048,1,135,s2
37,1890,2048,1970,2125,s3
37,1,136,2026,2171,s4
37,1872,2048,3941,4096,s5
37,1,136,3970,4096,s6
45,1,153,1,134,s1
45,1877,2048,1,141,s2
45,1895,2048,1886,2041,s3
45,1,164,1912,2065,s4
45,1876,2048,3966,4096,s5
45,1,151,3983,4096,s6
15,1,136,1,133,s1
15,1913,2048,1,136,s2
15,1,152,1826,1961,s3
15,1909,2048,1841,1993,s4
15,1,141,3970,4096,s5
15,1917,2048,3979,4096,s6
23,1,139,1,120,s1
23,1912,2048,1,130,s2
23,1893,2048,1925,2083,s3
23,1,145,2049,2193,s4
23,1,149,3971,4096,s5
23,1914,2048,3978,4096,s6
44,1,152,1,126,s1
44,1888,2048,1,128,s2
44,1904,2048,1974,2119,s3
44,1,140,2068,2206,s4
44,1894,2048,3963,4096,s5
44,1,159,3964,4096,s6
61,1,131,1,144,s1
61,1908,2048,1,121,s2
61,1,143,1873,2033,s3
61,1883,2048,1880,2033,s4
61,1,160,3983,4096,s5
61,1894,2048,3985,4096,s6
54,1,146,1,130,s1
54,1895,2048,1,134,s2
54,1,161,1967,2123,s3
54,1898,2048,1941,2079,s4
54,1,162,3968,4096,s5
54,1904,2048,3974,4096,s6
42,1,154,1,117,s1
42,1902,2048,1,137,s2
42,1903,2048,1982,2142,s3
42,1,147,2069,2217,s4
42,1,156,3964,4096,s5
42,1910,2048,3974,4096,s6
29,1,146,1,101,s1
29,1897,2048,1,110,s2
29,1,131,1968,2107,s3
29,1900,2048,1981,2138,s4
29,1900,2048,3952,4096,s5
29,1,157,3983,4096,s6
46,1,159,1,127,s1
46,1899,2048,1,100,s2
46,1897,2048,1950,2110,s3
46,1,201,2006,2154,s4
46,1894,2048,3955,4096,s5
46,1,145,3967,4096,s6
24,1,132,1,107,s1
24,1910,2048,1,105,s2
24,1914,2048,2054,2185,s3
24,1,111,2086,2214,s4
24,1,138,3981,4096,s5
24,1913,2048,3981,4096,s6
1,1,129,1,88,s1
1,1902,2048,1,114,s2
1,1,132,2005,2120,s3
1,1917,2048,2031,2143,s4
1,1911,2048,3993,4096,s5
1,1,147,4005,4096,s6
27,1,140,1,139,s1
27,1900,2048,1,125,s2
27,1920,2048,1998,2160,s3
27,1,121,2083,2222,s4
27,1,134,3973,4096,s5
27,1914,2048,4000,4096,s6
58,1,137,1,98,s1
58,1900,2048,1,124,s2
58,1,131,1834,1969,s3
58,1905,2048,1967,2093,s4
58,1,122,3996,4096,s5
58,1903,2048,4003,4096,s6
48,1,136,1,123,s1
48,1888,2048,1,121,s2
48,1904,2048,1974,2120,s3
48,1,151,2034,2195,s4
48,1,143,3988,4096,s5
48,1902,2048,4002,4096,s6
57,1,140,1,108,s1
57,1913,2048,1,111,s2
57,1895,2048,1968,2127,s3
57,1,127,2105,2263,s4
57,1,143,3962,4096,s5
57,1917,2048,3974,4096,s6
56,1,134,1,93,s1
56,1916,2048,1,108,s2
56,1902,2048,1955,2095,s3
56,1,140,2063,2217,s4
56,1,145,3951,4096,s5
56,1919,2048,3973,4096,s6
