 # ccd  x1  x2   y1   y2  BPMDEF_value
 07  1898 2048 1956 2098    16384
 07     1  138 2036 2175    16384
 07  1907 2048 3970 4096    16384
 07     1  146 3975 4096    16384
 01     1  129    1   88    16384
 01  1902 2048    1  114    16384
 01     1  132 2005 2120    16384
 01  1917 2048 2031 2143    16384
 01  1911 2048 3993 4096    16384
 01     1  147 4005 4096    16384
 02     1  148    1  116    16384
 02  1915 2048    1  133    16384
 02  1918 2048 2020 2165    16384
 02     1  149 2070 2205    16384
 02     1  139 3983 4096    16384
 02  1927 2048 3986 4096    16384
 03     1  164    1  128    16384
 03  1905 2048    1   89    16384
 03     1  153 2019 2169    16384
 03  1906 2048 2049 2188    16384
 03     1  155 3977 4096    16384
 03  1899 2048 3959 4096    16384
 35     1  137    1  113    16384
 35  1901 2048    1  107    16384
 35  1886 2048 2121 2263    16384
 35     1  136 2072 2219    16384
 35     1  156 3938 4096    16384
 35  1913 2048 3987 4096    16384
 36     1  150    1  131    16384
 36  1915 2048    1  131    16384
 36  1907 2048 1998 2142    16384
 36     1  132 2037 2188    16384
 36  1913 2048 3980 4096    16384
 36     1  154 3981 4096    16384
 37     1  133    1  129    16384
 37  1899 2048    1  135    16384
 37  1890 2048 1970 2125    16384
 37     1  136 2026 2171    16384
 37  1872 2048 3941 4096    16384
 37     1  136 3970 4096    16384
 38     1  147    1  120    16384
 38  1927 2048    1  102    16384
 38  1917 2048 1956 2114    16384
 38     1  142 1984 2121    16384
 38     1  135 3972 4096    16384
 38  1897 2048 3981 4096    16384
 28     1  161    1  117    16384
 28  1921 2048    1  114    16384
 28  1889 2048 1937 2081    16384
 28     1  142 2181 2315    16384
 28  1897 2048 3953 4096    16384
 28     1  142 3983 4096    16384
 29     1  146    1  101    16384
 29  1897 2048    1  110    16384
 29     1  131 1968 2107    16384
 29  1900 2048 1981 2138    16384
 29  1900 2048 3952 4096    16384
 29     1  157 3983 4096    16384
 30     1  134    1  110    16384
 30  1904 2048    1  138    16384
 30  1907 2048 1964 2110    16384
 30     1  127 2174 2326    16384
 30     1  149 3962 4096    16384
 30  1899 2048 3965 4096    16384
 31     1  185    1  112    16384
 31  1905 2048    1  102    16384
 31  1908 2048 1992 2141    16384
 31     1  153 2071 2215    16384
 31     1  165 3967 4096    16384
 31  1904 2048 3968 4096    16384
 41     1  138    1  121    16384
 41  1913 2048    1  130    16384
 41     1  143 1917 2064    16384
 41  1889 2048 1794 1984    16384
 41  1886 2048 3969 4096    16384
 41     1  138 3976 4096    16384
 42     1  154    1  117    16384
 42  1902 2048    1  137    16384
 42  1903 2048 1982 2142    16384
 42     1  147 2069 2217    16384
 42     1  156 3964 4096    16384
 42  1910 2048 3974 4096    16384
 43     1  142    1  115    16384
 43  1909 2048    1  111    16384
 43  1902 2048 1966 2125    16384
 43     1  162 2044 2196    16384
 43     1  149 3951 4096    16384
 43  1901 2048 3961 4096    16384
 44     1  152    1  126    16384
 44  1888 2048    1  128    16384
 44  1904 2048 1974 2119    16384
 44     1  140 2068 2206    16384
 44  1894 2048 3963 4096    16384
 44     1  159 3964 4096    16384
 49     1  141    1  117    16384
 49  1891 2048    1  129    16384
 49  1905 2048 1865 2015    16384
 49     1  150 1998 2144    16384
 49     1  139 3980 4096    16384
 49  1901 2048 3990 4096    16384
 50     1  140    1  122    16384
 50  1899 2048    1  121    16384
 50  1895 2048 2066 2209    16384
